ID_FALLA;FALLA_ID;FALLA;DESCRIPCION_FALLA;LOCALIZACION_FALLA;TIPIFICACION_FALLA;FALLA_REAL;IMPUTABILIDAD;INTERFAZ;MAL_ESCALADO_TERRENO;GRUPO_FALLA;FECHA_INICIO;FECHA_FIN;VERTICAL;NIVEL_2_VERTICAL;NIVEL_3_VERTICAL
40;B0870;870;CAMBIO DE ACOMETIDA EXTERNA;Sin Descripcion;Sin Descripcion;Hurto/Daño infraestructura;UNE;B;NULL;NULL;2017-06-18 14:42:38.787;NULL;Premisas;Red Abonado;Red Abonado
41;B0872;872;CAMBIO DE BLOQUE DE UN PAR   (ACOMETIDA);Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2017-06-18 14:42:38.537;NULL;Premisas;Red Abonado;Conectores
42;B0873;873;CABLE DATOS EN MAL ESTADO;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2017-06-18 14:42:38.817;NULL;Premisas;Red Interna;Cables
43;B0875;875;VERIFICÓ RED.;Sin Descripcion;Sin Descripcion;Sin Falla;UNE;B;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
44;B0876;876;CAMBIO DE NÚMERO  (SUSCRIPTOR);Sin Descripcion;Sin Descripcion;Sin Falla;UNE;B;SI;OTRO;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
45;B0877;877;EN TRASLADO  (SUSCRIPTOR);Sin Descripcion;Sin Descripcion;Sin Falla;CLIENTE;B;SI;Se encontro bueno;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
46;B0882;882;LÍNEA CANALIZADA EN MAL ESTADO;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2017-06-18 14:42:38.253;NULL;Premisas;Red Abonado;Cables
47;B0883;883;CABLE DE ELLOS EN MAL ESTADO;Sin Descripcion;Sin Descripcion;Con Falla;CLIENTE;B;NULL;NULL;2017-06-18 14:42:38.737;NULL;Premisas;Red Interna;Cables
48;B0884;884;APARATO DE ELLOS;Sin Descripcion;Sin Descripcion;Sin Falla;CLIENTE;B;NULL;NULL;2017-06-18 14:42:38.457;NULL;Cliente;Equipos Cliente;Hardware De Usuario
49;B0885;885;REPARACION ACOM INTER CAMBIO TOMA TELEF;Sin Descripcion;Sin Descripcion;Con Falla;CLIENTE;B;NULL;NULL;2017-06-18 14:42:38.170;NULL;Premisas;Red Interna;Conectores
50;B0886;886;CAMBIÓ LÍNEA INTERNA DERIVACIONES;Sin Descripcion;Sin Descripcion;Con Falla;CLIENTE;B;NULL;NULL;2017-06-18 14:42:38.570;NULL;Premisas;Red Interna;Conectores
51;B0887;887;ELLOS REPARAN LÍNEA;Sin Descripcion;Sin Descripcion;Sin Falla;CLIENTE;B;NULL;NULL;2017-06-18 14:42:38.283;NULL;Cliente;Equipos Cliente;Hardware De Usuario
52;B0888;888;FILTRO DE RADIO FRECUENCIA;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2017-06-18 14:42:38.727;NULL;Premisas;Red Abonado;Conectores
53;B0889;889;TRASLADO ILEGAL;Sin Descripcion;Sin Descripcion;Sin Falla;CLIENTE;B;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
54;B0890;890;CREADO POR ERROR;Sin Descripcion;Sin Descripcion;Sin Falla;UNE;B;SI;Se encontro bueno;2017-06-18 14:42:38.770;NULL;Cerrado sin intervención;Daño sin visita;Error
55;B0898;898;REPOSICIÓN DE ROUTER;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2017-06-18 14:42:38.370;NULL;Equipo;Inconveniente Equipo;Inconveniente con modem
56;B0899;899;RESET ROUTER/SWICH/CPE (EPM BOGOTA);Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2017-06-18 14:42:38.140;NULL;Equipo;Reset;Reset al Modem
57;B0900;900;CAMBIO NT;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2017-06-18 14:42:38.657;NULL;Cliente;Equipos Cliente;Hardware De Usuario
58;B0907;907;NO DEJAN REVISAR;Sin Descripcion;Sin Descripcion;Sin Falla;CLIENTE;B;NULL;NULL;2017-06-18 14:42:38.300;NULL;Cerrado sin intervención;Cliente sin contactar;Incumplimiento Cita
